Street,City,County,State,Zipcode,Price,WalkScore,Bike_Score,Beds,Bath,Sqft,Property_Type,Year_Built,Status
1660 trowville ln,Hayward,Alameda-County,Ca,94545,799000.0,48.0,66.0,3.0,2.0,1119.0,Single family residential,1956.0,Coming soon
2172 rapallo cmn,Livermore,Alameda-County,Ca,94551,1100000.0,54.0,74.0,4.0,2.5,2061.0,Single family residential,2003.0,New
3411 vittoria loop,Dublin,Alameda-County,Ca,94568,1545000.0,28.0,54.0,3.0,3.0,1966.0,Single family residential,2014.0,New
4822 la habra,Union city,Alameda-County,Ca,94587,1345000.0,20.0,58.0,3.0,2.0,1388.0,Single family residential,1980.0,New
2608 64th ave,Oakland,Alameda-County,Ca,94605,649000.0,86.0,62.0,2.0,1.0,1026.0,Single family residential,1945.0,New
5583 hemlock ter,Fremont,Alameda-County,Ca,94538,645000.0,61.0,45.0,2.0,1.5,1006.0,Townhouse,1970.0,New
1374 delaware st,Berkeley,Alameda-County,Ca,94702,1118000.0,89.0,99.0,2.0,1.0,1118.0,Single family residential,1947.0,New
4053 harlan st #104,Emeryville,Alameda-County,Ca,94608,649000.0,88.0,95.0,1.0,1.0,976.0,Condo,1917.0,New
27374 whitman st,Hayward,Alameda-County,Ca,94544,875000.0,59.0,65.0,4.0,3.0,1335.0,Single family residential,1950.0,New
818 las flores rd,Livermore,Alameda-County,Ca,94551,899000.0,58.0,56.0,3.0,2.5,1741.0,Townhouse,2016.0,New
4859 roberts ct,Castro valley,Alameda-County,Ca,94552,1999000.0,40.0,33.0,5.0,4.0,2865.0,Single family residential,2019.0,New
6165 robertson ave,Newark,Alameda-County,Ca,94560,2350000.0,0.0,0.0,4.0,3.5,2456.0,Single family residential,2022.0,Active
4429 brannigan st,Dublin,Alameda-County,Ca,94568,839998.0,69.0,75.0,2.0,2.0,1420.0,Condo,2004.0,New
396 38th st,Oakland,Alameda-County,Ca,94609,1388000.0,93.0,99.0,5.0,4.0,3025.0,Multi-family (5+ unit),1954.0,New
31964 olean st,Hayward,Alameda-County,Ca,94544,875000.0,53.0,52.0,4.0,1.5,1317.0,Single family home,1951.0,Active
6489 sherwood pl,Dublin,Alameda-County,Ca,94568,824000.0,7.0,61.0,2.0,2.5,1346.0,Townhouse,1990.0,New
801 franklin streeet #1201,Oakland,Alameda-County,Ca,94607-4252,618000.0,100.0,84.0,2.0,1.5,1120.0,Condo,1976.0,New
